# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History
# DB Description,Browsing History & Downloads
# Table,segment_usage
# Table Description,segment_usage
# Total Rows in DB,252
# Export Timestamp,2026-04-02 09:56:00 UTC
# MD5 Hash of Source DB,51e141f58bb3628ad263c1aeb53c797a

id,segment_id,time_slot,visit_count,time_slot__HUMAN,time_slot__FORMAT,visit_count__HUMAN,visit_count__FORMAT
118,73,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
119,74,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
120,75,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
121,76,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
122,77,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
123,78,13401225000000000,1,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
124,79,13401225000000000,2,2025-09-01 18:30:00 UTC,WebKit (Chrome),,unknown
125,80,13401311400000000,1,2025-09-02 18:30:00 UTC,WebKit (Chrome),,unknown
126,34,13401311400000000,1,2025-09-02 18:30:00 UTC,WebKit (Chrome),,unknown
127,81,13401311400000000,1,2025-09-02 18:30:00 UTC,WebKit (Chrome),,unknown
128,9,13401397800000000,3,2025-09-03 18:30:00 UTC,WebKit (Chrome),,unknown
129,6,13401397800000000,43,2025-09-03 18:30:00 UTC,WebKit (Chrome),,unknown
130,82,13401484200000000,1,2025-09-04 18:30:00 UTC,WebKit (Chrome),,unknown
131,9,13401484200000000,5,2025-09-04 18:30:00 UTC,WebKit (Chrome),,unknown
132,83,13401484200000000,4,2025-09-04 18:30:00 UTC,WebKit (Chrome),,unknown
133,84,13401484200000000,20,2025-09-04 18:30:00 UTC,WebKit (Chrome),,unknown
134,28,13401484200000000,2,2025-09-04 18:30:00 UTC,WebKit (Chrome),,unknown
135,85,13401484200000000,1,2025-09-04 18:30:00 UTC,WebKit (Chrome),,unknown
136,44,13401484200000000,5,2025-09-04 18:30:00 UTC,WebKit (Chrome),,unknown
137,6,13401484200000000,1,2025-09-04 18:30:00 UTC,WebKit (Chrome),,unknown
138,28,13401570600000000,2,2025-09-05 18:30:00 UTC,WebKit (Chrome),,unknown
139,9,13401570600000000,4,2025-09-05 18:30:00 UTC,WebKit (Chrome),,unknown
140,86,13401570600000000,2,2025-09-05 18:30:00 UTC,WebKit (Chrome),,unknown
141,87,13401570600000000,1,2025-09-05 18:30:00 UTC,WebKit (Chrome),,unknown
142,24,13401570600000000,2,2025-09-05 18:30:00 UTC,WebKit (Chrome),,unknown
143,46,13401570600000000,1,2025-09-05 18:30:00 UTC,WebKit (Chrome),,unknown
144,30,13401570600000000,1,2025-09-05 18:30:00 UTC,WebKit (Chrome),,unknown
145,45,13401570600000000,2,2025-09-05 18:30:00 UTC,WebKit (Chrome),,unknown
146,35,13401570600000000,1,2025-09-05 18:30:00 UTC,WebKit (Chrome),,unknown
147,9,13401657000000000,4,2025-09-06 18:30:00 UTC,WebKit (Chrome),,unknown
148,88,13401657000000000,1,2025-09-06 18:30:00 UTC,WebKit (Chrome),,unknown
149,6,13401657000000000,1,2025-09-06 18:30:00 UTC,WebKit (Chrome),,unknown
150,46,13401657000000000,1,2025-09-06 18:30:00 UTC,WebKit (Chrome),,unknown
151,89,13401743400000000,1,2025-09-07 18:30:00 UTC,WebKit (Chrome),,unknown
152,9,13401829800000000,3,2025-09-08 18:30:00 UTC,WebKit (Chrome),,unknown
153,90,13401829800000000,3,2025-09-08 18:30:00 UTC,WebKit (Chrome),,unknown
154,35,13401829800000000,4,2025-09-08 18:30:00 UTC,WebKit (Chrome),,unknown
155,91,13401829800000000,1,2025-09-08 18:30:00 UTC,WebKit (Chrome),,unknown
156,9,13401916200000000,2,2025-09-09 18:30:00 UTC,WebKit (Chrome),,unknown
157,11,13401916200000000,5,2025-09-09 18:30:00 UTC,WebKit (Chrome),,unknown
158,9,13402002600000000,1,2025-09-10 18:30:00 UTC,WebKit (Chrome),,unknown
159,92,13402002600000000,1,2025-09-10 18:30:00 UTC,WebKit (Chrome),,unknown
160,93,13402002600000000,1,2025-09-10 18:30:00 UTC,WebKit (Chrome),,unknown
161,30,13402002600000000,1,2025-09-10 18:30:00 UTC,WebKit (Chrome),,unknown
162,19,13402002600000000,1,2025-09-10 18:30:00 UTC,WebKit (Chrome),,unknown
163,94,13402002600000000,1,2025-09-10 18:30:00 UTC,WebKit (Chrome),,unknown
164,24,13402002600000000,1,2025-09-10 18:30:00 UTC,WebKit (Chrome),,unknown
165,30,13402089000000000,1,2025-09-11 18:30:00 UTC,WebKit (Chrome),,unknown
166,9,13402089000000000,4,2025-09-11 18:30:00 UTC,WebKit (Chrome),,unknown
167,95,13402089000000000,1,2025-09-11 18:30:00 UTC,WebKit (Chrome),,unknown
168,16,13402089000000000,8,2025-09-11 18:30:00 UTC,WebKit (Chrome),,unknown
169,9,13402175400000000,1,2025-09-12 18:30:00 UTC,WebKit (Chrome),,unknown
170,34,13402261800000000,3,2025-09-13 18:30:00 UTC,WebKit (Chrome),,unknown
171,46,13402348200000000,1,2025-09-14 18:30:00 UTC,WebKit (Chrome),,unknown
172,9,13402348200000000,1,2025-09-14 18:30:00 UTC,WebKit (Chrome),,unknown
173,96,13402348200000000,4,2025-09-14 18:30:00 UTC,WebKit (Chrome),,unknown
174,19,13402348200000000,1,2025-09-14 18:30:00 UTC,WebKit (Chrome),,unknown
175,92,13402348200000000,2,2025-09-14 18:30:00 UTC,WebKit (Chrome),,unknown
176,97,13402348200000000,1,2025-09-14 18:30:00 UTC,WebKit (Chrome),,unknown
177,28,13402348200000000,1,2025-09-14 18:30:00 UTC,WebKit (Chrome),,unknown
178,46,13402434600000000,3,2025-09-15 18:30:00 UTC,WebKit (Chrome),,unknown
179,98,13402434600000000,4,2025-09-15 18:30:00 UTC,WebKit (Chrome),,unknown
180,99,13402434600000000,5,2025-09-15 18:30:00 UTC,WebKit (Chrome),,unknown
181,19,13402434600000000,2,2025-09-15 18:30:00 UTC,WebKit (Chrome),,unknown
182,100,13402434600000000,1,2025-09-15 18:30:00 UTC,WebKit (Chrome),,unknown
183,9,13402434600000000,3,2025-09-15 18:30:00 UTC,WebKit (Chrome),,unknown
184,28,13402434600000000,2,2025-09-15 18:30:00 UTC,WebKit (Chrome),,unknown
185,9,13402521000000000,14,2025-09-16 18:30:00 UTC,WebKit (Chrome),,unknown
186,101,13402521000000000,1,2025-09-16 18:30:00 UTC,WebKit (Chrome),,unknown
187,24,13402521000000000,1,2025-09-16 18:30:00 UTC,WebKit (Chrome),,unknown
188,86,13402521000000000,1,2025-09-16 18:30:00 UTC,WebKit (Chrome),,unknown
189,82,13402521000000000,2,2025-09-16 18:30:00 UTC,WebKit (Chrome),,unknown
190,9,13402693800000000,3,2025-09-18 18:30:00 UTC,WebKit (Chrome),,unknown
191,14,13402693800000000,1,2025-09-18 18:30:00 UTC,WebKit (Chrome),,unknown
192,82,13402693800000000,1,2025-09-18 18:30:00 UTC,WebKit (Chrome),,unknown
193,102,13402780200000000,2,2025-09-19 18:30:00 UTC,WebKit (Chrome),,unknown
194,9,13402780200000000,4,2025-09-19 18:30:00 UTC,WebKit (Chrome),,unknown
195,27,13402780200000000,2,2025-09-19 18:30:00 UTC,WebKit (Chrome),,unknown
196,82,13402780200000000,1,2025-09-19 18:30:00 UTC,WebKit (Chrome),,unknown
197,103,13402780200000000,1,2025-09-19 18:30:00 UTC,WebKit (Chrome),,unknown
198,46,13402780200000000,1,2025-09-19 18:30:00 UTC,WebKit (Chrome),,unknown
199,104,13402780200000000,2,2025-09-19 18:30:00 UTC,WebKit (Chrome),,unknown
200,9,13402866600000000,1,2025-09-20 18:30:00 UTC,WebKit (Chrome),,unknown
201,105,13402866600000000,1,2025-09-20 18:30:00 UTC,WebKit (Chrome),,unknown
202,91,13402866600000000,1,2025-09-20 18:30:00 UTC,WebKit (Chrome),,unknown
203,43,13402866600000000,1,2025-09-20 18:30:00 UTC,WebKit (Chrome),,unknown
204,106,13402953000000000,1,2025-09-21 18:30:00 UTC,WebKit (Chrome),,unknown
205,9,13402953000000000,2,2025-09-21 18:30:00 UTC,WebKit (Chrome),,unknown
206,28,13402953000000000,1,2025-09-21 18:30:00 UTC,WebKit (Chrome),,unknown
